date,time,title,full_price,reduced,free,total,datetime,giorno_settimana,mese,anno,ora,fascia_oraria,stagione,weekend,festività,data_str,temp_max,temp_min,precip_mm,genres,keywords,cast,director,vote_average,popularity
2023-09-23,17:00,Barbie,12.0,129.0,1.0,142.0,2023-09-23 17:00:00,sabato,9,2023,17,pomeriggio,autunno,True,Nessuna,2023-09-23,21.8,12.4,5.5,"['Comedy', 'Adventure']","['feminism', 'satire', 'patriarchy', 'based on toy', 'female protagonist', 'doll', 'fantasy world', 'motherhood', 'existentialism', 'woman director', 'mother daughter relationship', 'playful', 'gender discrimination', 'sentimental', 'hilarious', 'secret world', 'whimsical', 'amused', 'audacious', 'celebratory', 'sarcastic', 'sympathetic', 'matel']","['Margot Robbie', 'Ryan Gosling', 'America Ferrera']",Greta Gerwig,6.972,26.4429
2023-09-23,20:30,Oppenheimer,39.0,111.0,1.0,151.0,2023-09-23 20:30:00,sabato,9,2023,20,sera,autunno,True,Nessuna,2023-09-23,21.8,12.4,5.5,"['Drama', 'History']","['husband wife relationship', 'based on novel or book', 'atomic bomb', 'patriotism', 'new mexico', 'world war ii', 'atomic bomb test', 'physics', 'biography', 'based on true story', 'antisemitism', 'interrogation', 'guilt', 'historical event', 'nuclear weapons', 'communism', 'red scare', 'mccarthyism', 'top secret project', 'moral dilemma', 'usa politics', '1940s', '20th century', 'manhattan project', 'los alamos']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon']",Christopher Nolan,8.1,27.1626
2023-09-24,17:00,Barbie,19.0,61.0,0.0,80.0,2023-09-24 17:00:00,domenica,9,2023,17,pomeriggio,autunno,True,Nessuna,2023-09-24,21.7,8.6,0.0,"['Comedy', 'Adventure']","['feminism', 'satire', 'patriarchy', 'based on toy', 'female protagonist', 'doll', 'fantasy world', 'motherhood', 'existentialism', 'woman director', 'mother daughter relationship', 'playful', 'gender discrimination', 'sentimental', 'hilarious', 'secret world', 'whimsical', 'amused', 'audacious', 'celebratory', 'sarcastic', 'sympathetic', 'matel']","['Margot Robbie', 'Ryan Gosling', 'America Ferrera']",Greta Gerwig,6.972,26.4429
2023-09-24,20:30,Oppenheimer,41.0,34.0,0.0,75.0,2023-09-24 20:30:00,domenica,9,2023,20,sera,autunno,True,Nessuna,2023-09-24,21.7,8.6,0.0,"['Drama', 'History']","['husband wife relationship', 'based on novel or book', 'atomic bomb', 'patriotism', 'new mexico', 'world war ii', 'atomic bomb test', 'physics', 'biography', 'based on true story', 'antisemitism', 'interrogation', 'guilt', 'historical event', 'nuclear weapons', 'communism', 'red scare', 'mccarthyism', 'top secret project', 'moral dilemma', 'usa politics', '1940s', '20th century', 'manhattan project', 'los alamos']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon']",Christopher Nolan,8.1,27.1626
2023-10-01,17:00,La casa dei fantasmi,12.0,44.0,1.0,57.0,2023-10-01 17:00:00,domenica,10,2023,17,pomeriggio,autunno,True,Nessuna,2023-10-01,25.1,14.0,0.0,"['Comedy', 'Drama', 'Fantasy', 'Horror']","['magic', 'haunted house', 'grief', 'ghost', 'taunting', 'haunted mansion', 'based on theme park ride', 'absurd', 'incredulous', 'ridiculous', 'sardonic']","['Rosario Dawson', 'Chase W. Dillon', 'LaKeith Stanfield']",Justin Simien,6.483,2.9891
2023-10-04,20:30,Il più bel secolo della mia vita ,16.0,11.0,0.0,27.0,2023-10-04 20:30:00,mercoledì,10,2023,20,sera,autunno,False,Nessuna,2023-10-04,23.9,14.4,0.6,['Comedy'],[],"['Sergio Castellitto', 'Valerio Lundini', 'Carla Signoris']",Alessandro Bardani,6.42,0.3305
2023-10-07,17:00,Il mio amico tempesta,5.0,15.0,0.0,20.0,2023-10-07 17:00:00,sabato,10,2023,17,pomeriggio,autunno,True,Nessuna,2023-10-07,25.4,13.0,0.0,['Drama'],"['zealous', 'unassuming', 'understated', 'whimsical', 'sympathetic', 'tragic', 'vibrant']","['Mélanie Laurent', 'Pio Marmaï', 'Kacey Mottet Klein']",Christian Duguay,6.8,0.5911
2023-10-07,20:30,Assassinio a Venezia,46.0,47.0,1.0,94.0,2023-10-07 20:30:00,sabato,10,2023,20,sera,autunno,True,Nessuna,2023-10-07,25.4,13.0,0.0,"['Mystery', 'Thriller', 'Crime']","['based on novel or book', 'venice, italy', 'loss of loved one', 'detective', 'medium', 'grief', 'whodunit', 'investigator', 'guilt', 'novelist', 'post world war ii', 'murder investigation', 'ghost', 'séance', 'mysterious', 'murder mystery', 'spiritism', 'halloween night', 'palazzo', 'retired detective']","['Kenneth Branagh', 'Kyle Allen', 'Camille Cottin']",Kenneth Branagh,6.598,4.681
2023-10-08,17:00,Il mio amico tempesta,15.0,21.0,1.0,37.0,2023-10-08 17:00:00,domenica,10,2023,17,pomeriggio,autunno,True,Nessuna,2023-10-08,28.0,15.5,0.0,['Drama'],"['zealous', 'unassuming', 'understated', 'whimsical', 'sympathetic', 'tragic', 'vibrant']","['Mélanie Laurent', 'Pio Marmaï', 'Kacey Mottet Klein']",Christian Duguay,6.8,0.5911
2023-10-08,20:30,Assassinio a Venezia ,28.0,26.0,1.0,55.0,2023-10-08 20:30:00,domenica,10,2023,20,sera,autunno,True,Nessuna,2023-10-08,28.0,15.5,0.0,"['Mystery', 'Thriller', 'Crime']","['based on novel or book', 'venice, italy', 'loss of loved one', 'detective', 'medium', 'grief', 'whodunit', 'investigator', 'guilt', 'novelist', 'post world war ii', 'murder investigation', 'ghost', 'séance', 'mysterious', 'murder mystery', 'spiritism', 'halloween night', 'palazzo', 'retired detective']","['Kenneth Branagh', 'Kyle Allen', 'Camille Cottin']",Kenneth Branagh,6.598,4.681
2023-10-11,20:30,Houria ,11.0,9.0,0.0,20.0,2023-10-11 20:30:00,mercoledì,10,2023,20,sera,autunno,False,Nessuna,2023-10-11,26.0,14.6,0.0,['Drama'],[],"['Lyna Khoudri', 'Rachida Brakni', 'Salim Kissari']",Mounia Meddour,6.814,0.6193
2023-10-28,17:00,Paw Patrol,36.0,46.0,5.0,87.0,2023-10-28 17:00:00,sabato,10,2023,17,pomeriggio,autunno,True,Nessuna,2023-10-28,17.5,9.1,0.0,['Animation'],[],"['Keegan Hedley', 'Lilly Bartlam', 'Beckett Hipkiss']",Charles E. Bastien,10.0,0.6621
2023-10-28,20:30,Il mio grosso grasso matrimonio greco 3,9.0,1.0,0.0,10.0,2023-10-28 20:30:00,sabato,10,2023,20,sera,autunno,True,Nessuna,2023-10-28,17.5,9.1,0.0,"['Comedy', 'Romance']","['wedding', 'greek-american restaurant', 'traditional family']","['Nia Vardalos', 'John Corbett', 'Louis Mandylor']",Nia Vardalos,5.889,3.0732
2023-10-29,17:00,Paw Patrol,44.0,55.0,6.0,105.0,2023-10-29 17:00:00,domenica,10,2023,17,pomeriggio,autunno,True,Nessuna,2023-10-29,15.5,9.0,2.0,['Animation'],[],"['Keegan Hedley', 'Lilly Bartlam', 'Beckett Hipkiss']",Charles E. Bastien,10.0,0.6621
2023-10-29,20:30,Il mio grosso grasso matrimonio greco 3,2.0,5.0,0.0,7.0,2023-10-29 20:30:00,domenica,10,2023,20,sera,autunno,True,Nessuna,2023-10-29,15.5,9.0,2.0,"['Comedy', 'Romance']","['wedding', 'greek-american restaurant', 'traditional family']","['Nia Vardalos', 'John Corbett', 'Louis Mandylor']",Nia Vardalos,5.889,3.0732
2023-10-31,17:00,Me contro Te: Il film - Vacanze in Transilvania,11.0,18.0,0.0,29.0,2023-10-31 17:00:00,martedì,10,2023,17,pomeriggio,autunno,False,Nessuna,2023-10-31,15.7,7.0,20.0,"['Family', 'Fantasy']",[],"['Sofia Scalia', 'Luigi Calagna', 'Michele Savoia']",Gianluca Leuzzi,6.041,1.3784
2023-10-31,22:00,L'esorcista - il credente,8.0,13.0,0.0,21.0,2023-10-31 22:00:00,martedì,10,2023,22,sera,autunno,False,Nessuna,2023-10-31,15.7,7.0,20.0,"['Horror', 'Thriller']","['faith', 'exorcism', 'possession', 'sequel', 'disappearance', 'death of mother', 'exorcist', 'reboot', 'demonic possession', 'religious horror', 'father daughter relationship', 'awestruck']","['Leslie Odom Jr.', 'Lidya Jewett', ""Olivia O'Neill""]",David Gordon Green,5.866,5.8654
2023-11-01,17:00,Me contro Te: Il film - Vacanze in Transilvania,31.0,44.0,2.0,77.0,2023-11-01 17:00:00,mercoledì,11,2023,17,pomeriggio,autunno,False,Tutti i Santi,2023-11-01,15.6,6.7,0.3,"['Family', 'Fantasy']",[],"['Sofia Scalia', 'Luigi Calagna', 'Michele Savoia']",Gianluca Leuzzi,6.041,1.3784
2023-11-01,20:30,"Io, capitano ",34.0,29.0,0.0,63.0,2023-11-01 20:30:00,mercoledì,11,2023,20,sera,autunno,False,Tutti i Santi,2023-11-01,15.6,6.7,0.3,"['Adventure', 'Drama']","['africa', 'europe', 'migration', 'senegal', 'migrant', 'dakar']","['Seydou Sarr', 'Moustapha Fall', 'Issaka Sawadogo']",Matteo Garrone,7.813,2.5977
2023-11-04,20:30,L'ultima volta che siamo stati bambini,15.0,8.0,0.0,23.0,2023-11-04 20:30:00,sabato,11,2023,20,sera,autunno,True,Nessuna,2023-11-04,11.9,1.9,4.3,"['Drama', 'Comedy', 'Adventure']",[],"['Alessio Di Domenicantonio', 'Vincenzo Sebastiani', 'Carlotta De Leonardis']",Claudio Bisio,7.165,0.7197
2023-11-05,17:00,L'ultima volta che siamo stati bambini,27.0,27.0,2.0,56.0,2023-11-05 17:00:00,domenica,11,2023,17,pomeriggio,autunno,True,Nessuna,2023-11-05,13.8,5.2,20.3,"['Drama', 'Comedy', 'Adventure']",[],"['Alessio Di Domenicantonio', 'Vincenzo Sebastiani', 'Carlotta De Leonardis']",Claudio Bisio,7.165,0.7197
2023-11-05,20:30,"Io, capitano ",36.0,31.0,1.0,68.0,2023-11-05 20:30:00,domenica,11,2023,20,sera,autunno,True,Nessuna,2023-11-05,13.8,5.2,20.3,"['Adventure', 'Drama']","['africa', 'europe', 'migration', 'senegal', 'migrant', 'dakar']","['Seydou Sarr', 'Moustapha Fall', 'Issaka Sawadogo']",Matteo Garrone,7.813,2.5977
2023-11-08,20:30,Asteroid City ,11.0,6.0,0.0,17.0,2023-11-08 20:30:00,mercoledì,11,2023,20,sera,autunno,False,Nessuna,2023-11-08,11.4,2.8,0.0,"['Comedy', 'Drama']","['quarantine', 'asteroid', 'diner', 'grandfather', 'war photographer', 'alien', 'grief', 'space', 'family', 'widower', 'astronomy', 'story within the story', 'existentialism', 'parent-in-law child-in-law relationship', 'vending machine', 'stage play', 'death of wife', '1950s', 'convention', 'stargazing', 'meta', 'science fiction', 'desert town', 'ambiguous', 'audacious', 'skeptical', 'wry']","['Jason Schwartzman', 'Scarlett Johansson', 'Tom Hanks']",Wes Anderson,6.454,5.2006
2023-11-11,20:30,Killers of the Flowers Moon,26.0,12.0,0.0,38.0,2023-11-11 20:30:00,sabato,11,2023,20,sera,autunno,True,Nessuna,2023-11-11,12.1,1.5,0.0,,,,,,
2023-11-12,17:00,Killers of the Flowers Moon,18.0,19.0,0.0,37.0,2023-11-12 17:00:00,domenica,11,2023,17,pomeriggio,autunno,True,Nessuna,2023-11-12,8.5,1.5,0.1,,,,,,
2023-11-18,17:00,Trolls III,21.0,51.0,0.0,72.0,2023-11-18 17:00:00,sabato,11,2023,17,pomeriggio,autunno,True,Nessuna,2023-11-18,11.4,1.6,0.0,,,,,,
2023-11-18,20:30,Comandante,40.0,27.0,1.0,68.0,2023-11-18 20:30:00,sabato,11,2023,20,sera,autunno,True,Nessuna,2023-11-18,11.4,1.6,0.0,"['War', 'History', 'Drama']","['navy', 'submarine', 'world war ii', '1940s']","['Pierfrancesco Favino', 'Massimiliano Rossi', 'Johan Heldenbergh']",Edoardo De Angelis,7.0,0.7788
2023-11-19,17:00,Trolls III,40.0,68.0,0.0,108.0,2023-11-19 17:00:00,domenica,11,2023,17,pomeriggio,autunno,True,Nessuna,2023-11-19,13.7,4.8,0.0,,,,,,
2023-11-19,20:30,Comandante,30.0,39.0,0.0,69.0,2023-11-19 20:30:00,domenica,11,2023,20,sera,autunno,True,Nessuna,2023-11-19,13.7,4.8,0.0,"['War', 'History', 'Drama']","['navy', 'submarine', 'world war ii', '1940s']","['Pierfrancesco Favino', 'Massimiliano Rossi', 'Johan Heldenbergh']",Edoardo De Angelis,7.0,0.7788
2023-11-22,20:30,C'è Ancora Domani,202.0,82.0,1.0,285.0,2023-11-22 20:30:00,mercoledì,11,2023,20,sera,autunno,False,Nessuna,2023-11-22,12.7,2.6,0.0,"['Drama', 'Comedy', 'History']","['woman director', 'female empowerment', '1940s', 'abusive husband', 'women empowerment', 'historical comedy', 'pastiche', 'post-war italy']","['Paola Cortellesi', 'Valerio Mastandrea', 'Romana Maggiora Vergano']",Paola Cortellesi,8.13,2.0995
