date;time;title;full_price;reduced;free;total
27/12/2023;17:00;Wish;73;114;9;196
27/12/2023;20:30;Ferrari;19;30;2;51
28/12/2023;17:00;Wonka;68;121;0;189
28/12/2023;20:30;Cento Domeniche;23;29;0;52
29/12/2023;17:00;Prendi il Volo;25;36;0;61
29/12/2023;20:30;SantoCielo;8;3;0;11
30/12/2023;17:00;Wish;46;84;11;141
02/01/2024;20:30;Un colpo di fortuna;26;22;1;49
03/01/2024;17:00;Prendi il volo;54;94;5;153
03/01/2024;20:30;Santocielo;19;21;0;40
04/01/2024;17:00;Aquaman;17;37;;54
04/01/2024;20:30;One Life;31;33;1;65
05/01/2024;17:30;Wonka;46;101;1;148
05/01/2024;20:30;Un colpo di fortuna;8;10;0;20
06/01/2024;17:00;Wish;53;85;12;151
06/01/2024;20:30;Ferrari;21;36;;59
07/01/2024;17:00;Prendi il volo;48;58;4;110
13/01/2024;20:30;Wonder SpinOff;18;22;1;46
14/01/2024;20:30;Wonder SpinOff;9;10;;19
20/01/2024;17:00;Il ragazzo e l'airone;28;39;;67
20/01/2024;20:00;One Life;39;33;;77
21/01/2024;17:00;Il ragazzo e l'airone;49;46;;101
21/01/2024;20:30;One Life;18;14;0;34
31/01/2024;20:30;Perfect Days;32;48;;80
03/02/2024;20:30;50km all'ora;8;11;1;20
04/02/2024;17:00;50km all'ora;4;4;;8
04/02/2024;20:30;Perfect Days;51;26;2;82
07/02/2024;20:30;The Holdovers;8;17;0;25
08/02/2024;20:30;C'è Ancora Domani;64;51;1;116
09/02/2024;17:00;Il Fantasma di Canterville;9;24;2;35
09/02/2024;20:30;Oppenheimer;18;12;;30
10/02/2024;20:30;Povere Creature;7;21;0;28
11/02/2024;17:00;Il Fantasma di Canterville;41;53;2;96
11/02/2024;20:30;The Holdovers;17;6;;23
12/02/2024;17:00;Il ragazzo e l'airone;11;12;1;24
12/02/2024;20:30;The Holdovers;14;9;;23
14/02/2024;20:30;Povere Creature;34;24;0;63
17/02/2024;20:30;Barbie;10;19;0;29
18/02/2024;17:00;Il Fantasma di Canterville;14;26;2;43
18/02/2024;20:30;Povere Creature;25;27;;52
21/02/2024;20:30;La Chimera;15;22;;41
24/02/2024;20:30;Bob Marley;39;25;2;68
25/02/2024;17:00;Sansone e Margot;14;24;0;38
25/02/2024;20:30;Bob Marley;73;26;;99
28/02/2024;20:30;Anatomia di una caduta;21;32;;55
02/03/2024;17:00;Emma e il giaguaro nero;28;41;1;70
02/03/2024;20:30;Romeo è Giulietta;13;11;;26
03/03/2024;17:00;Emma e il giaguaro nero;46;74;1;122
03/03/2024;20:30;Romeo è Giulietta;7;9;;16
07/03/2024;20:30;Past Lives;14;14;0;28
10/03/2024;17:00;La quercia e i suoi abitanti;31;44;2;78
10/03/2024;20:30;Past Lives;17;24;0;47
14/03/2024;20:30;Rimane il vento - Benvenuti in galera;10;5;0;15
16/03/2024;20:30;Dune Parte Due;20;25;;45
17/03/2024;17:00;Dune Parte Due;14;27;;42
17/03/2024;20:30;Rimane il vento - Benvenuti in galera;5;5;;10
20/03/2024;20:30;La zona d'intereresse;37;45;;83
23/03/2024;21:00;Red Turning Red;6;12;;18
24/03/2024;17:00;Red Turning Red;16;31;;47
24/03/2024;20:30;La zona d'intereresse;26;31;2;61
27/03/2024;20:30;Navalny;11;6;1;20
29/03/2024;20:30;Un'altro Ferragosto;11;2;1;14
30/03/2024;20:30;Kung fu Panda 4;40;51;2;93
31/03/2024;17:00;kung fu Panda 4;41;76;4;121
31/03/2024;20:30;Race for Glory;27;11;1;39
01/04/2024;17:00;Kung Fu Panda 4;72;132;5;209
01/04/2024;20:30;Race for Glory;19;31;0;50
03/04/2024;20:30;La sala professori;18;19;0;37
07/04/2024;17:00;Kung Fu Panda 4;18;48;2;68
07/04/2024;20:30;Un'altro Ferragosto;5;0;0;5
10/04/2024;20:30;Estranei;20;14;;34
13/04/2024;17:00;il mio amico robot;6;2;0;8
13/04/2024;17:00;un mondo a parte;39;27;1;67
14/04/2024;17:00;il mio amico robot;10;13;;23
14/04/2024;20:30;un mondo a parte;19;41;;60
20/04/2024;20:30;Ghostbusters-minaccia glaciale;12;10;0;22
21/04/2024;17:00;Ghostbusters-minaccia glaciale;14;36;1;51
21/04/2024;20:30;un mondo a parte;35;25;0;60
24/04/2024;20:30;Canzone della Terra ;18;14;0;32
25/04/2024;20:30;Challengers;4;8;3;15
26/04/2024;20:30;I Bambini di Gaza;13;12;0;25
27/04/2024;20:30;Challengers;4;13;0;17
28/04/2024;17:00;Vita da gatto;11;16;0;27
28/04/2024;20:30;Canzone della Terra;8;2;;10
29/04/2024;20:30;Challengers;0;11;1;12
30/04/2024;20:30;Back to Black;17;11;4;32
01/05/2024;17:00;Vita da gatto;14;23;0;37
01/05/2024;20:30;Food for Profit;20;11;;31
04/05/2024;20:30;Back to Black;29;16;1;46
05/05/2024;17:00;Back to Black;10;3;;13
05/05/2024;20:30;Food for Profit;15;4;1;20
08/05/2024;20:30;Avvicinamento ;42;26;2;70
11/05/2024;20:30;Garfield;12;23;0;35
12/05/2024;17:00;Garfield;29;37;3;69
12/05/2024;20:30;Avvicinamento;2;1;;3
15/05/2024;20:30;Priscilla;5;3;1;9
18/05/2024;20:30;The Fall Guy;2;18;2;22
19/05/2024;17:00;The Fall Guy;5;0;1;6
19/05/2024;20:30;Priscilla;12;10;4;26
23/05/2024;20:30;Tatami;38;40;2;80
01/06/2024;20:30;Il regno del pianeta delle scimmie;11;10;;21
02/06/2024;17:00;Il regno del pianeta delle scimmie;4;16;;20
02/06/2024;20:30;Rapito;4;8;;12
05/06/2024;20:30;Marmolada;97;37;1;135
12/06/2024;20:30;Confidenza;19;0;0;19
13/06/2024;17:00;If;71;0;1;72
13/06/2024;20:30;If;32;0;1;33
15/06/2024;20:30;Furiosa;1;2;;3
16/06/2024;20:30;Furiosa;3;1;0;4
19/06/2024;20:30;Inside Out 2;61;224;4;289
22/06/2024;20:30;Inside Out 2;81;181;3;265
23/06/2024;17:00;Inside Out 2;103;187;9;299
23/06/2024;20:30;Inside Out 2;102;177;9;288
21/09/2024;20:30;CATTIVISSIMO ME 4;42;91;2;135
22/09/2024;20:30;CATTIVISSIMO ME 4;9;4;0;13
28/09/2024;20:30;PERICOLOSAMENTE VICINI;35;18;0;53
29/09/2024;17:00;CATTIVISSIMO ME 4;56;109;5;174
29/09/2024;20:30;PERICOLOSAMENTE VICINI;28;12;0;40
05/10/2024;20:30;Joker: Folie à Deux;40;43;0;83
06/10/2024;20:30;Joker: Folie à Deux;29;21;;50
09/10/2024;20:30;VERMIGLIO ;155;139;3;297
12/10/2024;20:30;IL ROBOT SELVAGGIO;38;49;1;88
13/10/2024;17:00;IL ROBOT SELVAGGIO;59;89;3;151
13/10/2024;20:30;VERMIGLIO;130;88;1;219
16/10/2024;20:30;THE BEAT BOMB;10;7;2;19
19/10/2024;20:30;Joker: Folie à Deux;15;21;0;36
20/10/2024;17:00;IL ROBOT SELVAGGIO;45;76;5;126
20/10/2024;20:30;FUGA IN NORMANDIA;27;53;0;80
23/10/2024;20:30;VITE PARALLELE;75;76;3;154
26/10/2024;20:30;MEGALOPOLIS;7;7;0;14
27/10/2024;17:00;IL ROBOT SELVAGGIO;20;33;5;58
27/10/2024;20:30;MEGALOPOLIS;12;8;0;20
29/10/2024;20:30;LARRY;;;;0
30/10/2024;20:30;CAMPO DI BATTAGLIA;12;11;2;25
31/10/2024;20:30;CORALINE REMASTERED;7;30;3;40
31/10/2024;22:30;LONGLEGS;6;9;;15
01/11/2024;17:00;CORALINE REMASTERED;12;26;2;40
01/11/2024;20:30;LONGLEGS;10;21;0;31
02/11/2024;17:00;BUFFALO KIDS;17;18;1;36
02/11/2024;20:30;VERMIGLIO;77;57;4;138
03/11/2024;17:00;BUFFALO KIDS;17;24;5;46
